22,22,5.1,"BS.LOZB..HHE | 2022-11-03T04:49:59.060000Z - 2022-11-03T04:54:03.840000Z | 100.0 Hz, 24479 samples","BS.LOZB..HHE | 2022-11-03T04:49:59.060000Z - 2022-11-03T04:54:03.840000Z | 100.0 Hz, 24479 samples"
19,19,5.1,"BS.DOBAM..HNE | 2022-11-03T04:50:00.410000Z - 2022-11-03T04:54:06.260000Z | 100.0 Hz, 24586 samples","BS.DOBAM..HNE | 2022-11-03T04:50:00.410000Z - 2022-11-03T04:54:06.260000Z | 100.0 Hz, 24586 samples"
20,20,5.1,"BS.DOBAM..HNN | 2022-11-03T04:49:59.590000Z - 2022-11-03T04:54:03.820000Z | 100.0 Hz, 24424 samples","BS.DOBAM..HNN | 2022-11-03T04:49:59.590000Z - 2022-11-03T04:54:03.820000Z | 100.0 Hz, 24424 samples"
21,21,5.1,"BS.DOBAM..HNZ | 2022-11-03T04:49:58.850000Z - 2022-11-03T04:54:05.470000Z | 100.0 Hz, 24663 samples","BS.DOBAM..HNZ | 2022-11-03T04:49:58.850000Z - 2022-11-03T04:54:05.470000Z | 100.0 Hz, 24663 samples"
7,7,5.1,"BS.KOZAM..HNE | 2022-11-03T04:50:06.740000Z - 2022-11-03T04:54:14.810000Z | 100.0 Hz, 24808 samples","BS.KOZAM..HNE | 2022-11-03T04:50:06.740000Z - 2022-11-03T04:54:14.810000Z | 100.0 Hz, 24808 samples"
8,8,5.1,"BS.KOZAM..HNN | 2022-11-03T04:50:06.480000Z - 2022-11-03T04:54:12.350000Z | 100.0 Hz, 24588 samples","BS.KOZAM..HNN | 2022-11-03T04:50:06.480000Z - 2022-11-03T04:54:12.350000Z | 100.0 Hz, 24588 samples"
24,24,5.1,"BS.LOZB..HHZ | 2022-11-03T04:50:00.870000Z - 2022-11-03T04:54:03.320000Z | 100.0 Hz, 24246 samples","BS.LOZB..HHZ | 2022-11-03T04:50:00.870000Z - 2022-11-03T04:54:03.320000Z | 100.0 Hz, 24246 samples"
25,25,5.1,"BS.LOZB..HNE | 2022-11-03T04:50:01.610000Z - 2022-11-03T04:54:02.690000Z | 100.0 Hz, 24109 samples","BS.LOZB..HNE | 2022-11-03T04:50:01.610000Z - 2022-11-03T04:54:02.690000Z | 100.0 Hz, 24109 samples"
26,26,5.1,"BS.LOZB..HNN | 2022-11-03T04:49:58.810000Z - 2022-11-03T04:54:05.370000Z | 100.0 Hz, 24657 samples","BS.LOZB..HNN | 2022-11-03T04:49:58.810000Z - 2022-11-03T04:54:05.370000Z | 100.0 Hz, 24657 samples"
27,27,5.1,"BS.LOZB..HNZ | 2022-11-03T04:49:59.060000Z - 2022-11-03T04:54:03.400000Z | 100.0 Hz, 24435 samples","BS.LOZB..HNZ | 2022-11-03T04:49:59.060000Z - 2022-11-03T04:54:03.400000Z | 100.0 Hz, 24435 samples"
10,10,5.1,"RO.MHISU..HNE | 2022-11-03T04:50:09.690000Z - 2022-11-03T04:54:13.700000Z | 100.0 Hz, 24402 samples","RO.MHISU..HNE | 2022-11-03T04:50:09.690000Z - 2022-11-03T04:54:13.700000Z | 100.0 Hz, 24402 samples"
11,11,5.1,"RO.MHISU..HNN | 2022-11-03T04:50:10.660000Z - 2022-11-03T04:54:13.860000Z | 100.0 Hz, 24321 samples","RO.MHISU..HNN | 2022-11-03T04:50:10.660000Z - 2022-11-03T04:54:13.860000Z | 100.0 Hz, 24321 samples"
12,12,5.1,"RO.MHISU..HNZ | 2022-11-03T04:50:10.920000Z - 2022-11-03T04:54:11.150000Z | 100.0 Hz, 24024 samples","RO.MHISU..HNZ | 2022-11-03T04:50:10.920000Z - 2022-11-03T04:54:11.150000Z | 100.0 Hz, 24024 samples"
13,13,5.1,"RO.RMGR..HHE | 2022-11-03T04:50:08.768400Z - 2022-11-03T04:54:11.958400Z | 100.0 Hz, 24320 samples","RO.RMGR..HHE | 2022-11-03T04:50:08.768400Z - 2022-11-03T04:54:11.958400Z | 100.0 Hz, 24320 samples"
14,14,5.1,"RO.RMGR..HHN | 2022-11-03T04:50:09.798400Z - 2022-11-03T04:54:13.588400Z | 100.0 Hz, 24380 samples","RO.RMGR..HHN | 2022-11-03T04:50:09.798400Z - 2022-11-03T04:54:13.588400Z | 100.0 Hz, 24380 samples"
15,15,5.1,"RO.RMGR..HHZ | 2022-11-03T04:50:09.468400Z - 2022-11-03T04:54:12.518400Z | 100.0 Hz, 24306 samples","RO.RMGR..HHZ | 2022-11-03T04:50:09.468400Z - 2022-11-03T04:54:12.518400Z | 100.0 Hz, 24306 samples"
16,16,5.1,"RO.RMGR..HNE | 2022-11-03T04:50:10.738400Z - 2022-11-03T04:54:13.898400Z | 100.0 Hz, 24317 samples","RO.RMGR..HNE | 2022-11-03T04:50:10.738400Z - 2022-11-03T04:54:13.898400Z | 100.0 Hz, 24317 samples"
17,17,5.1,"RO.RMGR..HNN | 2022-11-03T04:50:10.388400Z - 2022-11-03T04:54:12.058400Z | 100.0 Hz, 24168 samples","RO.RMGR..HNN | 2022-11-03T04:50:10.388400Z - 2022-11-03T04:54:12.058400Z | 100.0 Hz, 24168 samples"
18,18,5.1,"RO.RMGR..HNZ | 2022-11-03T04:50:08.548400Z - 2022-11-03T04:54:13.538400Z | 100.0 Hz, 24500 samples","RO.RMGR..HNZ | 2022-11-03T04:50:08.548400Z - 2022-11-03T04:54:13.538400Z | 100.0 Hz, 24500 samples"
